Country Name,"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.42748249194894905,-1.1939956218383838,2.5104916558891364,-1.88609472392244,4.167910914890526
Algeria,-1.0525470760822238,-4.513674543081764,0.09281872959702708,-0.8796829507497659,4.776425672480599
Argentina,0.4435240909549698,5.328767417259417,0.6468753586612941,0.9261645749167409,-2.782304325012479
Armenia,-0.6725984044964473,1.0912423798803288,-0.09592995609327419,-0.35758685261875,0.3534210531400099
Australia,1.211172784300811,3.013418759820431,-1.5040844289437394,0.2886366685762036,-6.734883567637617
Austria,0.6987516939979357,3.9472852696103073,-0.7588389940748916,1.5271499458892923,-6.441821263061293
Bangladesh,-1.3494183515308533,-3.4363970547447726,0.1474475230829717,-1.8578440983273712,8.12456024088661
Belgium,1.7660063855416412,6.249217345276382,-0.08675237155769633,-0.09645227303474257,-7.000571425530248
Benin,0.19641886368221595,-7.374160956269689,-0.2453407762607389,-1.0905705447993057,10.327762990566356
Bolivia,-0.688339640939892,3.53763998184838,0.4283026860308632,-0.8488618404383151,-1.5192677422262721
Bosnia and Herzegovina,0.080079256695615,6.111725067817998,1.5746626716995786,-2.022770377979711,-4.112242178661385
Brazil,-0.2931462012962627,2.6979021027137384,-0.8402561510957915,1.566731364812926,-3.910529429540543
Bulgaria,-0.5028340938761522,4.149544644365673,-0.07641129916068312,-0.4293368469839429,-4.134314141026057
Burkina Faso,0.3111742881241737,-8.066022156736715,-0.2707151027581478,-0.7323525283109493,9.516700077343
Cambodia,-0.9574224697256604,-2.765463512136542,-0.8447910213094545,-3.4544078728634,5.56025177502441
Cameroon,-0.3555993223947862,-5.470699112056596,-1.482414954954308,-1.1342450049889292,6.2997938971272625
Canada,2.5265159795350187,0.5806761388200257,-1.7704776621267748,3.0328617828626117,-5.161284551326396
Chile,0.9722837075714592,7.003892224665252,0.9008677787145025,0.7687016579630113,-3.4999199202779296
China,0.6484600637978009,4.55836608506758,-0.19109067949101322,0.4466942001659353,-2.7476513296800142
Colombia,0.03946876069569227,2.4964143023538945,1.0284633873449613,0.019700882793136865,1.603173306551187
"Congo, Rep.",-3.5898171433895207,-14.67089488380168,-0.9417842136604655,-0.42306174454859047,10.941822302916332
Costa Rica,-0.09964257784637276,5.783779397763367,-0.6910673712605693,-0.15404364795411318,-2.8875286626196184
Cote d'Ivoire,-0.8485781674979549,-9.544529936811294,0.14746275017209953,0.443783523909695,11.068218579427512
Croatia,2.0182736289520875,6.497595882914547,0.562516563147403,3.0011283447967116,-7.126870071876339
Czech Republic,-0.6578856884867661,7.932970349960406,-0.4620709380278649,0.36755651936853484,-9.17053188462872
Dominican Republic,0.5536745243948791,0.8127803505333109,2.8627212022838506,-0.19465188719984372,2.7132103913141847
Ecuador,-2.82863972614601,2.545760198720777,0.4635439435057096,-0.7701787147649125,-0.4531497659771483
"Egypt, Arab Rep.",-0.2507941575353314,-6.914014464762506,0.7562573477562813,-2.2466964195364167,6.378925793893796
El Salvador,0.29600562562908816,-10.581826030448717,1.364869544815297,1.3712850790132753,12.510537092700677
Estonia,2.3794615320752417,8.772053259019575,0.428722624471086,0.4112482411349587,-9.064838226937617
France,1.9724953523594113,7.017392383510641,0.12421522084650949,2.604867795626536,-10.164056685504722
Gabon,-2.0615089317904616,-6.826098341373733,-0.028869068531736986,0.20238532217860117,4.837011915896038
Georgia,-0.2283027807198641,4.328106640257676,2.0079639773321594,0.4324490943288546,-1.052343810356212
Germany,0.9853891314548457,3.4253998762034197,-1.3641392681476527,2.6073532336228364,-8.191831189286
Ghana,-0.3057695631706494,-2.006758869011139,-0.40316983100615156,-1.7946916797389105,4.229746885989245
Greece,0.5900646060365986,4.713894623795959,0.5824222360687825,1.0802197423058066,-4.070780483727694
Guinea,-0.19045984010962602,-7.285725979679767,-1.4826220630520837,-2.4290032358787403,9.16486128271845
Honduras,-0.9557799123799438,-6.55664835244534,2.4388711577802944,0.6780550640757423,10.853246561770526
"Hong Kong SAR, China",1.5568934547701732,0.634459935869752,-0.5804724958563483,2.2172616256628035,-2.9683365018027135
Hungary,1.5723038412822596,7.6918797473628295,1.7124588241096976,0.7529533117292999,-10.025975066550053
Iceland,4.048943875459388,1.073923109935199,-2.2200725780169295,3.0763292115179697,-7.649550217644901
India,-0.9878396425065957,2.169504054072732,2.343557571755292,-1.0797482273433474,0.9748429392475408
Indonesia,-0.33955358838234395,-0.6081445091834954,1.2077436576929397,-1.7852839464813346,0.3042432033059552
Iraq,-0.35854219234448337,-9.464527463068904,-0.6072461570032628,-0.7948667033034775,8.606757277941453
Ireland,6.471262805393229,6.662343835539607,0.059685627631257177,4.871758438470884,-10.021858257040844
Israel,3.7165357074878544,1.168406721238505,-1.4025137785843595,4.215599650858785,-4.967672550722458
Italy,0.9323165605184656,5.092833664462499,0.39801444413944864,1.7825333369680294,-6.995148072551877
Jamaica,0.3819134133100688,2.8329511424903417,1.743567751808464,-2.258030821876927,-3.4860831656786484
Japan,0.46020790112440635,-0.40881879676402116,-1.0696305590947435,0.6669433438076455,-3.4263133324166226
Jordan,-0.5237368461270229,-2.2292858438285394,0.3559584474339763,-0.9416518455107141,0.2328097774176605
Kazakhstan,-1.049534582261109,5.1007282548227,-0.7964272798013425,-0.6592956612538645,-3.9982577815704934
Kenya,-0.4312279305045299,0.9631820447887884,-1.102157293442166,2.214075908686643,0.4378509839836613
"Korea, Rep.",0.8254442477240738,-1.0543816979894889,-1.5596913751278039,3.5417695293799305,-3.2436335314592855
Kosovo,0.4323239839980837,2.4252519765708973,2.17741848356927,-0.9526516298418786,-0.6907149481810109
Kyrgyz Republic,-1.536687762314151,-4.0024470420549285,0.8031195568805569,-0.5495591630109313,3.3789540053423743
Lao PDR,-2.106606778508323,-5.707809436291869,0.36335713567383277,-0.4683868417460624,5.179225423830637
Latvia,-0.3121444874294719,7.569984105100363,0.361286560972518,-2.2803733802053485,-6.293630753796784
Lebanon,-6.086788674177129,-14.316762997529402,-2.9897600470434256,-2.3376796066048424,9.870295328580308
Liberia,-0.448438399011867,-2.6236370814154553,-1.2781830054888434,-2.4227342945942256,5.591496515523822
Malawi,-3.44934124344429,-5.2844315895040435,-0.5604213389182968,-2.2777249131859882,8.759817064432518
Malaysia,-0.3164828603591392,8.971420671441063,-1.4896265071410038,-0.6560892631178019,-8.72587651383891
Mali,-1.2936363319886084,-5.531747019086721,-0.2010374942479718,-2.0399663062884614,6.94474229288657
Malta,1.0332799129417065,5.532619053859358,0.46493790068830965,0.772026398803944,-3.9317670220049346
Mauritius,-0.3769618117416478,6.216883352919783,1.2948123237606337,-1.5131930695434246,-7.051090450970921
Moldova,1.1181370099024397,4.7488505964225975,2.0509025575279143,1.1057823256739514,-1.0095385829367203
Mongolia,-3.6008564739569584,0.13566439339062558,0.3702473391118801,3.3956346685188743,-4.399798633099264
Morocco,0.895080031094978,-0.648873858410587,1.2969516651148023,-1.5773019867111189,1.3474636174867176
Mozambique,-2.4413342503749584,-4.636376962370731,0.0739365406846666,-0.6563567206613845,4.429302263733929
Myanmar,-5.210016344812537,-11.184446165585703,-6.175502661858545,-2.416909923684912,2.8766524760579806
Namibia,-0.18402405211212602,2.143639488369297,-2.5743713254741962,-1.195898658111646,-1.1479595461386862
Nepal,-0.593142917782012,0.8493512988577969,-1.594690482273296,-2.9915224935594655,3.1567268860778697
Netherlands,3.052772925519573,8.546717807880489,-0.4366964027818865,2.170781931882595,-13.713362151694831
New Zealand,2.1703700286626244,2.9615550368459007,-0.7960418548361314,0.9566752983719011,-6.252659480542104
Nicaragua,-0.33588256349299606,-10.153380704181314,1.8985534873166863,0.9759275374010454,13.090264151359488
Nigeria,0.4193811576906127,-1.0222468126368076,0.991623561875046,-1.6502851042750493,0.21239691015440165
North Macedonia,-1.3590441780330897,4.77332493877248,0.33469129717356894,-1.677457238910407,-3.6032506795436623
Pakistan,-3.4241845126023076,-14.732502524592173,-0.7592132604672077,1.5236765638900502,17.712653144973014
Panama,5.614164995137195,-4.209616696374099,3.2171121020472913,1.3344975211751589,3.623464143282609
Paraguay,-2.175932140646351,-10.39740934240477,-0.7298545075857188,0.5475123744477495,11.005167605450573
Peru,0.863274790645189,2.4081446675192044,2.3971445476700923,1.037098324928992,0.9280562036059914
Philippines,-1.0225671660642235,0.19978228914880658,-0.11918806158918882,-0.13694040476463465,1.427264755883958
Poland,0.44012262724483175,5.003274245190854,-0.19647262434724588,-0.9498111119485955,-3.9975995055674485
Portugal,0.4352837434352157,7.277920718012913,-0.3643398089172356,-0.6710070925711089,-7.218834117725997
Romania,-0.9792764964977243,5.643431981646229,-0.5070161771001476,-0.2787741889103861,-3.2115501953412107
Russian Federation,-0.2591569651955443,4.154102321115735,-0.8359611249383587,-0.3671241964007268,-3.3113201571690456
Saudi Arabia,-1.3330321696337846,3.7070306540450426,0.3217283017599033,0.037494849234100736,-4.8235828989805825
Senegal,-0.30947587300113,-5.004078045717295,-0.06465813583240365,-0.25143780743934885,6.443222779165498
Serbia,1.2699608194186918,4.071543566433026,-0.2184588019144087,1.0976715557424894,-4.138142563651088
Sierra Leone,-0.9178525235574213,-7.62298039795173,-1.5354699918788626,-2.8375737229138975,10.754146481956349
Singapore,0.3209028598665338,4.553700719415154,0.5433970161947572,1.6293138961923699,-4.789684994137939
Slovak Republic,-0.1653087383479701,5.177705897650918,-0.7943641981686526,-2.181909936553406,-4.357054863895849
Slovenia,1.1202933489349238,4.265223093046927,0.2890893897349147,0.3268218604896087,-3.171947547399262
South Africa,0.1894901648148739,1.6261832341727396,-0.4941573731489308,0.49698736470330385,-2.3650938630553298
Spain,1.418498633844206,5.485743051729304,-0.4977390141947593,2.4531911724462274,-9.064750804128058
Sri Lanka,-0.9936939793223307,2.2218551102100665,2.6196309922889496,-2.3928294435844317,-3.199028870206189
Switzerland,2.4692531734717367,3.351422851667899,-2.0495523455172635,3.2835908848783664,-8.711114993407373
Tajikistan,0.8128369615810294,-6.54495418378828,3.187036745021441,-3.0009293525714567,9.803066792760454
Tanzania,-0.7637714456206135,-8.945198557306405,0.05811015036431666,0.18870833365551754,8.694360175406555
Thailand,-0.4062451409228145,2.9874994111326,-1.6930014845033123,0.18027533420923103,-4.864542801806445
Togo,-0.7969943024838857,-6.208834122949773,-0.562870039359896,-1.450281237551056,8.86261007389027
Tunisia,-0.7755684075081954,-4.319839305575638,-0.00921312314378575,-1.179048608984349,4.0311201193445285
Uganda,-0.7249708318747761,-0.6414188366149269,-1.3644149963339753,-1.039548941611705,1.7474510463573028
Ukraine,-2.61481901517056,2.4016989145160155,0.0008627406413210803,2.3152718610622527,-4.078661400232432
United Kingdom,4.483904992451123,6.948244293676105,-0.994120855498049,3.0495587527604817,-11.444174664800993
United States,1.118505824638683,0.3324954036046397,-0.9364435671611271,3.1608789311917445,-3.2136618834919104
Uruguay,-0.5971083317863473,3.9381441703683944,-0.2819892957438115,-0.06005658967234062,-3.8090513454754924
Uzbekistan,3.916627709953518,-5.9164222726389495,2.446147836285924,-0.58687878129082,2.1197955726541085
West Bank and Gaza,0.03197341871142223,-5.844140811629309,1.7680425738773222,-1.079602545840618,6.694052869990943
Zambia,-1.7939715939987044,-4.618656555050858,-0.7737668411599037,-0.8059167012803852,6.1609150073571755
Zimbabwe,0.4308388904352225,-5.526167059800385,0.5370109270010417,0.09959657126767074,4.770226741473748
