Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.9141932592542927,-3.2054389311695397,0.13062581122960637,-0.42578338339156874,7.932758665824476
Algeria,-2.5641363950853657,-4.602750734117461,-0.1016897452533918,-2.1926267184423445,7.857225361972441
Argentina,-0.5423449038387966,6.611976769556936,0.30582818561035996,2.2124437916841755,-3.8493480923365233
Armenia,-0.9257301760568064,-0.15315845191398814,-1.41599643946595,4.021804844311916e-05,2.672801025019223
Australia,5.573242651639316,8.265051117572984,-1.602387132071546,-0.7841469945437813,-15.171604412807625
Austria,5.244723331443055,8.355430715996553,-1.20525803390451,1.1363117787869665,-14.432343009754803
Bangladesh,-3.046034984895595,-8.736815874659762,-1.9176450609724611,-1.6169848030194167,16.937873474563194
Belgium,6.6647511019728825,11.361040875508692,-0.13413818734366423,-1.3307879181613531,-15.637187594526875
Benin,-1.2812708437994598,-14.605078271560004,-0.673575861800785,-0.6292323837220168,18.60575739675118
Bolivia,-1.9317784394750466,4.113548788645268,-0.13276976893984038,-0.015080483651316201,-1.2586657835656307
Bosnia and Herzegovina,-0.032551128059437495,8.93450124406847,1.438679604800491,-0.9196497615880204,-7.695946098703664
Brazil,-1.5797022848350482,7.013169408737656,0.403594969195165,1.3697670149088896,-7.937982290349756
Bulgaria,-0.13636547141500177,8.774817077357813,-0.2761538680660882,0.3659779702331605,-9.864291589469996
Burkina Faso,-0.42374044850670955,-15.718024216102155,0.37124076891656266,0.15380919008473803,16.913573532113546
Cambodia,-3.578382158211996,-6.9558359862264405,-1.0197503607137595,-2.76442020992188,12.037723696891879
Cameroon,-0.900025920599882,-12.650005154421162,-1.0551881656223845,-1.0289560345195614,13.761663085149372
Canada,2.2357940079700214,5.925324620375555,0.8536834844861172,1.7480344783799495,-11.75155260180242
Chile,2.2781106528586257,12.713025534113259,0.17065689980309529,2.051032514243987,-11.113805219377527
China,1.9747250620241061,8.098842298642792,0.08899216875568783,1.4936486289364153,-9.133611391332241
Colombia,-2.6614897784626006,1.671975971494633,-0.35968836544979904,1.4531390310969745,4.691079323991183
"Congo, Rep.",-2.6529660004505757,-24.827289082177334,-1.8528365675029406,-0.9136050947775356,22.449124695216504
Costa Rica,-1.163423000819404,9.024486180669308,-1.3772966112691432,0.7004528801579881,-4.820137447586301
Cote d'Ivoire,-0.7918749087927228,-18.627340214035385,0.32612767603161963,0.020328733285702505,20.438466004476687
Croatia,4.129913714204436,9.315673681646203,0.6453630139280886,1.0245247853443669,-9.92628313147098
Czech Republic,5.773456359312519,14.022869674164621,-0.48711273255452525,-1.068605384460744,-19.803467507671105
Dominican Republic,-1.8108178704989761,-0.5222941000023936,1.2739804731496402,0.55006015411119,7.1234312525099215
Ecuador,-4.942496063473607,3.259592065824421,-0.4143134843650162,0.40114891878240355,0.8337368299609782
"Egypt, Arab Rep.",-2.5073266954962925,-14.628896084617574,1.2498144934215727,0.9580661236085399,12.660977188390243
El Salvador,-3.182329958455279,-16.94714789113497,3.3698758101157926,-0.8467126853092495,22.701243988237117
Estonia,12.588295714386378,14.151044050976036,0.17008060442502426,-2.9859963445749305,-21.05945449227252
France,4.907387923865164,9.287751793826928,0.2938357709262611,0.649567765140076,-13.593364526928617
Gabon,-1.528172615584836,-14.042650886588675,-0.15675972999173915,0.1382354620393622,11.769481929756848
Georgia,-5.4736359622793005,8.676294031936331,1.3392235249696798,2.4437406706895386,-1.9611280149495665
Germany,2.4066388185457726,7.023063413362067,-0.8443427052312478,1.9293376860672273,-13.169903090189537
Ghana,-1.4886007708205309,-5.570408197197864,-1.236114061172482,-0.950396102601438,8.952656590624436
Greece,1.461057225300113,12.565956767009764,-0.02158485992049819,0.7345459520222644,-11.870373879079748
Guinea,-1.7066325067146035,-17.325237062601154,-0.6279408991048694,-1.390033024834576,18.76365126137566
Honduras,-2.2820563400238827,-12.630833182068145,2.174523452490618,-0.3271674332015513,20.64418466846211
"Hong Kong SAR, China",1.6364430542938866,5.766525617595601,0.6677101597148676,2.63655050614359,-10.041063847486289
Hungary,7.482046137679406,12.473034888691565,1.5062070239410374,-0.07953629861533074,-19.659047620857883
Iceland,3.650821092259707,5.914182187783138,0.15960234810067142,1.0702357682268486,-12.501702940210414
India,-2.899281375319414,2.9658450239897207,1.9973867602833542,-1.0758971418612941,2.4983299629338287
Indonesia,-3.693322570812144,-0.6619154626469137,-0.33731246417635496,-0.3352441570438236,3.418985205040123
Iraq,-1.2452725471752224,-16.931433912554027,-0.21198876683279977,-0.18248252028722245,16.046526697499402
Ireland,9.387355017006184,9.325881906718731,0.43307475182776045,2.1100600206823312,-13.40012057712158
Israel,2.5008625898906267,5.042982616550379,0.8556796404192628,3.074950160508884,-8.714406080684524
Italy,6.793618140682142,6.2650640370928965,-0.7695256601049909,0.5094801598626297,-11.695296428229717
Jamaica,-1.6893989591171588,7.91350761998557,1.538711762111176,-2.6956052112612805,-5.849546296491986
Japan,0.6645170404746255,4.183403184354743,0.2531081465260452,1.2477407226014359,-10.023652674833343
Jordan,-2.0382861981609963,-3.172471679767896,0.16029849649857653,-0.6945526842380545,3.6145765805183534
Kazakhstan,-0.3174236766515821,7.439795694552799,-1.3708156648416288,-0.14775446668887415,-6.895139159991583
Kenya,-1.9292389718579448,-0.4635331050913344,-0.4326879319108622,1.5809740177931246,3.3407021572692317
"Korea, Rep.",0.9949245312819688,5.556154360269007,0.7926140120328711,2.31516682779594,-10.777430132967776
Kosovo,-0.5658178632689963,5.1476316403798155,-0.3770836414652825,-0.06989888340193362,-0.6072034757135878
Kyrgyz Republic,-0.7073567943862011,-6.544211978341829,-0.4771363409238667,-1.0563662847485382,6.799237600974605
Lao PDR,-1.5431989975831595,-8.922648259254931,-0.8211497745944438,-0.7843193598723364,10.158629284228272
Latvia,5.9609899726145485,14.801898730387272,0.2103969653441098,-0.8799145535196686,-21.501356054665553
Lebanon,-7.7611037224199535,-28.244267839042422,-0.35590667142158594,-2.2372312606371807,23.145624311661777
Liberia,-3.10199168883603,-8.448673042042502,-1.4872188698037583,-2.389815384175039,13.9879337265587
Malawi,-5.8914616221275224,-13.949188918489646,-0.04505764407120871,-2.2595996241430445,19.510998258870725
Malaysia,0.6192986777578504,15.137781201451027,-1.2831492713201484,1.9750721568452914,-18.729814174298514
Mali,-5.113487737079977,-11.631781187657046,-0.18273074743544981,-1.0133095816198257,15.601477996003315
Malta,4.208227465272726,12.258924952571595,0.9289438226037081,1.034457464413384,-14.587242400933096
Mauritius,0.1463828103885536,12.753400844372148,-0.7600072461498879,-0.68561922151203,-12.838489672818842
Moldova,-1.1543537273397337,6.541028733025701,1.3463004216012084,2.8249529585439164,-0.8797983126064874
Mongolia,-2.0337927955802826,9.087340631210342,-0.48518198291405135,0.6596017102867133,-11.307186974881699
Morocco,-0.9292471023830708,-1.9274179963227263,1.2897213070606093,-0.33933420986161134,3.886228533802869
Mozambique,-4.162478621689768,-8.688308795202925,-0.875366554765808,0.13530345163955637,11.214607641178523
Myanmar,-5.878634508237184,-15.660339280472499,-4.842872313253025,-4.045283048222789,7.96532765910225
Namibia,-2.2981300736461123,4.892100265270087,-1.3407890815435803,-1.228020494853507,-2.992655759882557
Nepal,-1.1793440440968155,-0.5912552311385548,-3.4071203324798196,-1.879867459148926,5.884150757801302
Netherlands,11.458643341197876,14.332133021268483,-0.7553757987322527,-2.9011469190319747,-22.50919040891939
New Zealand,7.811728550216046,7.952403618398676,-0.7700694236213694,-0.9326828119429926,-15.02184471305518
Nicaragua,-0.8580201441285062,-19.750693081798012,0.8135019382930153,0.3034382476342916,23.309505311143944
Nigeria,-3.3507300511565234,-1.877821812172273,0.7551351270924151,-0.859936755449588,2.7357469736885727
North Macedonia,-1.8326202055263954,8.44281145194525,-0.1429189011785077,-0.20065774437120165,-7.6519864119884495
Pakistan,-6.278556603994854,-30.38667189021952,3.78368333090458,-1.0146722860448865,34.56149350310122
Panama,1.3613733246950699,-3.7309199409780716,4.5521096356516475,-0.04669005151095762,7.628486362667832
Paraguay,-3.606398969448671,-20.5340513207705,0.22414526804904966,-0.30179902468852937,21.61672836847551
Peru,-2.750349325208914,3.5964995791029644,1.1992165516185507,2.5412310737287056,2.77298570968588
Philippines,-3.325314257479423,-1.0398154431158626,0.4123979962030737,0.19195205645627667,4.062821386566366
Poland,2.1781074026219915,12.300377152792809,-0.5982401448473906,0.2772527525432631,-13.918693498434763
Portugal,1.1418385427334456,14.545974186478533,-0.7228206367157828,1.6603170683298405,-17.134268661092282
Romania,-1.6556152385837932,8.050681684496505,-1.175998772222445,0.3704691097978252,-5.413428129405945
Russian Federation,0.0594116449465405,6.948598962245756,-0.9898011267334952,1.0789755547550577,-7.60004946174269
Saudi Arabia,1.4669363613449358,5.851202238030107,-0.003045687243492523,-0.7472727526289686,-8.730582918307613
Senegal,-2.7681761643822504,-11.590282171303716,0.10181098788415,0.2683579259036053,14.83090858785165
Serbia,2.402853740540915,5.6155061425018475,0.3930295857216999,0.22666585026193697,-6.787459516660134
Sierra Leone,-3.931770408611552,-17.193466447707856,-0.7577086259875294,-2.5034928103618626,22.026362540875937
Singapore,1.6819235163890678,14.580612943525473,0.4173326259080756,0.9698691492044267,-15.473900309494354
Slovak Republic,2.753456757638906,13.235494864580309,-1.072268885328068,-0.5971423941862204,-16.526537518638555
Slovenia,4.451355462438892,11.081447010441881,0.7575376706285208,1.3276659231686452,-14.892649197705362
South Africa,-0.6620909124594108,4.597384072012728,-0.2746229456382112,1.4489770842884453,-5.567614722060306
Spain,2.5643729293453683,7.881096893554642,-0.07829529101559185,1.3731992441916905,-12.108187635232994
Sri Lanka,-1.6997252264675848,7.109468401318866,1.8467036283877616,-2.442049683193788,-6.595275081551746
Switzerland,3.5598305358588425,5.940883331993658,-1.5158734922420756,2.2329878540110863,-12.122247427454926
Tajikistan,-3.1602384181515983,-9.72437051212583,4.451412040940829,-3.3830447506202512,15.970578972096746
Tanzania,-1.8257065352127242,-17.539324771904962,0.14202708467790082,0.6318974076552752,17.066836420050546
Thailand,-0.37142177166775525,4.214894158223856,-1.4795120374933148,1.5226259611786004,-7.657610255260465
Togo,-1.097997889576309,-14.015422398339986,-0.3181790692166313,-0.29029139016849115,15.71195104961528
Tunisia,-1.2489345701393662,-6.864539120483027,-0.3161766448695884,-1.4939555101076198,7.9344186971320845
Uganda,-0.7800254262702646,-5.779481204751281,-0.9150801448380452,-0.8527845535896441,6.2903001339218125
Ukraine,-1.3265258958572321,7.869165486473135,-0.40287652494017223,0.1456423767628343,-8.327644701182127
United Kingdom,9.251927903519503,7.582226950499905,-1.106731468750069,1.0441276630219871,-14.495939860472358
United States,1.6827122295652712,6.402183682901065,1.0223806929985644,2.0442179329126438,-10.713580793738696
Uruguay,-1.2749728835668925,7.063012735719754,0.0034212364254688765,0.8862839470324761,-7.622999526443911
Uzbekistan,2.9528576828141073,-5.803367766617092,2.4705670345836346,-0.9994035684639697,3.397435978781464
West Bank and Gaza,-0.6667690425833737,-10.249427974312301,-0.5541032053740933,0.08828279582023768,12.326684864072984
Zambia,-2.1809055038725305,-13.224465950462955,-0.42566701342803626,-0.28994958915582547,14.283164550056698
Zimbabwe,-3.229345090970215,-10.935205970562198,1.0587146748517142,0.7836125502951585,12.576137753178244
