Country Name,Worries for monthly expenses - All,Worries for medical costs - All,Worries for old age,Worries for educational fees - All
Algeria,0.7502429306056464,-4.4884168255175965,-0.9301187583329508,-1.1708577582891897
Argentina,4.005972456586456,-1.9345991207840083,0.7737947710701657,2.1033192546260406
Armenia,0.2558567276976425,-2.57560296381541,3.04396096879638,-0.2889360190609595
Australia,-3.3206607470484126,-5.84560439974528,6.648917882634035,-0.8007377437147616
Austria,-2.62601044794672,-2.558551364529204,6.336282575396001,0.1614485667560758
Bangladesh,1.5492385880947486,5.03292498765605,-4.299557282343612,-0.6621184871166852
Belgium,-2.38721092306068,-5.103569704416243,6.296715386158794,0.6718020336876149
Benin,-2.443640686845789,9.692432799051629,-6.203039747218561,0.074213137742797
Bolivia,0.7065669779150279,5.491107258760239,-5.309230411872448,0.4634555848606689
Bosnia and Herzegovina,2.415675058823528,-1.7488322095741458,1.605349260364322,-0.7179152093009882
Brazil,3.448860164623378,-1.073165047659724,-4.887405081230006,1.822188552334309
Bulgaria,1.4130563969305192,-1.7109188309687753,0.6588289365676568,-1.369647429458828
Cameroon,-1.897019855184018,5.235940507820404,-3.647918169065123,-1.4308816738706749
Canada,-3.201783489747409,-3.856622308897875,6.842151880064929,-0.8223787558939648
Chile,-0.0334745433585502,0.0226875605424038,-0.0538874587043534,-0.0845746617395577
Colombia,4.913605092165338,7.934368791438987,-10.213083270849012,2.2631083439586472
"Congo, Rep.",-1.657326673854178,-0.5147322683908655,-3.22420274650588,-3.2092049574766435
Costa Rica,1.68882687337265,-1.801843067159084,-1.6676219290128258,2.5967108597327484
Cote d'Ivoire,-0.7268161681721119,4.1706467647246095,-2.207391246208145,0.0292494770584221
Croatia,-1.1150485508077603,-1.2503322320853691,5.828984547481816,1.1422711133174102
Cyprus,0.4286013958147667,-0.5515672554983689,-0.6323922567736939,1.3148799574519443
Czech Republic,-1.9029485530802468,-5.952686163612815,4.575600232165518,1.391478479305536
Dominican Republic,3.052948079177738,3.313550326177462,-1.5228368112160175,0.6061489531800008
"Egypt, Arab Rep.",1.2325436297075965,0.4702643889114078,-2.410223549726766,-0.895577169663079
El Salvador,3.3174944634385346,-0.8047271281418511,0.648363266677275,2.3244013445182503
Estonia,-2.396269703828847,4.685607657049879,2.5896463037803965,-2.031136773361008
Finland,-5.369238903722321,-1.8005432338055811,7.425270817053505,-2.100622916970811
France,-3.494924686525233,-5.529526719254894,8.898754071586504,1.7134058690920302
Gabon,-0.8913709567170963,1.4317197590015958,-2.857370200383083,-1.247142266028542
Germany,-1.9232805774513173,-8.46165469157102,5.197149944140432,1.9746711561940176
Ghana,-1.4330618022898864,7.5112086271673935,-5.873835050568977,-0.417537297749285
Greece,-0.1826750832143648,7.8330157946821375,-5.732509433201974,0.9852602556309876
Guinea,-2.901429540560377,9.128635690372478,-8.753766244071977,0.8972291829664609
Honduras,3.827554945736023,1.6637947791758885,-0.3322090900097751,0.9214695414796976
"Hong Kong SAR, China",-0.2091410779897337,-0.4539188403676439,2.305364674515756,0.0536662221255666
Hungary,-1.1138333920420125,-4.954225633634104,7.698186654315969,-0.0373361368951146
Iceland,-4.000562020311797,-2.082711616405392,7.022721016958196,-2.5363457022953098
India,3.116410830616795,5.398055104089808,-6.029440416026822,-0.4927919682731927
Indonesia,1.7900572908292798,8.962327763991212,-9.712943025294226,1.575710398298975
Iraq,0.6699489623933914,-2.531541181981552,-0.3436287550237238,-0.2531714915094882
Ireland,-2.4499955272919864,0.8196413343103268,8.92481574309264,0.0220911740063485
Israel,-4.656514035145492,2.3906713692181927,5.340048414574054,-0.2865680269716626
Italy,-1.2893331797816032,-4.6046995688211245,5.779070667949154,1.152388093800286
Jamaica,0.2616896632532128,-2.715760001873608,2.9061493903750955,-1.2101079703382958
Japan,5.467776705603942,-1.5762634105154372,-8.022512677340172,0.4564474918061139
Jordan,2.0563587780494053,1.4849315318207998,-4.271496972497987,-3.341596717786093
Kazakhstan,0.9229065434464384,-2.443073522586827,0.3017330459042318,-0.1989738068679054
Kenya,0.7942482061396763,5.733715700001548,-5.186653441007063,-0.788429537092747
"Korea, Rep.",4.6587392134811925,-3.9059999567309194,-3.7447182415654217,1.6039528543612378
Kosovo,0.0905329790725852,2.251884489143848,0.4080532594267996,0.8261063645260585
Kyrgyz Republic,0.6648197001183161,-1.6172978519610857,-0.7226829573557854,-0.1019116357780878
Lao PDR,-0.038902334230221,1.127167230028132,-5.139053872043771,1.1825521779488757
Latvia,-0.5774377571799166,-3.344820886931466,4.059071291354712,-0.8162302739902958
Lithuania,-1.3195247378641977,-6.023535109816933,8.33956134642236,-1.3113899642283595
Malaysia,-0.7090924815191855,0.511670167946948,-4.551867831550563,0.6530913825579363
Malta,-0.5780534919189313,1.482774952411377,2.4820217540520337,0.1007969788711893
Mauritius,-1.0162087615173463,4.742124941737254,-3.206084161463247,-0.9971432025377736
Moldova,2.3935604297510777,2.1681695272136112,1.4288225505720629,2.332215308517693
Morocco,2.1761039168449843,0.9780157230907216,-1.19004017897402,-0.0713998179031094
Mozambique,3.4058023328661884,6.648887905068577,-12.274518480993832,-0.387841534158742
Myanmar,-3.4905811773816025,-0.6865991563744789,-16.30111038407227,-2.614718284325839
Namibia,2.136860351660752,1.611154880724948,-3.059256654870508,-2.416837335966688
Nepal,0.9048645403295178,-0.6059800726902016,-0.5647056892545341,-0.1557254683794579
Netherlands,-4.411429072473196,1.1775388875249018,6.594650668451177,-3.249025624732522
New Zealand,-3.329657841135859,-1.242329442896275,6.284864221565762,-2.7968135681134507
Nicaragua,1.5967702596100448,-0.2015876238906209,1.2296313855745864,2.0361365797704605
Nigeria,2.3926929511668256,3.9759477907010408,-5.703261629510335,-2.5712365968554725
North Macedonia,0.0271324900935234,-1.559876850573005,0.1793012901620166,0.065290078285582
Pakistan,4.093850943872444,2.5476556855842283,-3.539090441138626,-1.4024821765449564
Panama,2.2467518084071925,0.436867093884258,5.16736260702469,2.116946723029754
Paraguay,1.951699349589364,-4.174020674371261,0.6941198729597285,0.4626279142533049
Poland,1.6224358474830134,-1.057185681592167,-0.1088085292276914,-0.0769365660443099
Portugal,1.5825692140729362,-0.4497886923687589,-0.6436541199638606,-1.0317385520225844
Romania,0.6693598609368809,-1.7180040836912935,2.5045823261600577,-0.9592330687270024
Russian Federation,1.3972621448096247,-2.429471766248351,0.7152685048065928,-0.1055644243129998
Saudi Arabia,-2.8588691965224444,2.3362763351838183,0.5449947634555683,-2.118945972138748
Serbia,-0.6248531532069646,-2.4436843471516307,3.852834647084449,1.2598674603222215
Singapore,-0.1024943952160668,3.115211960556441,-1.5681054702554147,0.8141228262269569
Slovak Republic,1.3896894688760328,-2.8782778616589426,-0.4289670234694833,1.549369158092111
Slovenia,0.9083939907862264,-3.4141210165379365,1.8243455564809352,3.490471370330446
South Africa,3.127780974729069,-1.3671547059633422,-0.4357596847108024,-1.041952276397341
Spain,-4.19123007964051,-11.506444826779616,3.078134325865915,3.944559637865499
Sri Lanka,2.767719138344053,2.570144990941046,-4.74151812326698,-2.130069062862553
Switzerland,-4.74858618472207,0.1906729054306548,6.577710224450763,-1.4809926574946726
Tajikistan,0.5076030769765969,-0.2810905040238785,2.971737866798914,0.6513775659426102
Tanzania,0.5060693895469637,4.259734964397366,-3.680814327917401,-1.366200907345108
Thailand,-1.6348923760511154,-8.640723712302682,2.403982334508116,4.137692820627326
Tunisia,0.6496464392267924,-2.251280185154538,-1.6440747115044794,-0.9985311746964892
Uganda,-1.239105716497889,6.896627123617148,-6.959951707665203,-0.5949942030227815
United Kingdom,-5.150900763816861,-5.785802304142818,13.046259639091296,-0.0931445460562887
Uruguay,-0.2686716898780026,-4.922047997054387,1.1091694452517658,3.0903018076841478
Uzbekistan,-2.573756323726452,4.487978192740892,0.5006487332153555,-0.3780767739693917
West Bank and Gaza,0.5326670868028357,-0.4909396213712515,0.8883291789009241,0.6292320931854518
